Y89Di: 89Y_CD45,I127Di: 127I_IdU,Pr141Di: 141Pr_Ly-6G,Nd142Di: 142Nd_CD11c,Nd143Di: 143Nd_CD69,Nd144Di: 144Nd_CD115,Nd145Di: 145Nd_CD45-RB,Nd146Di: 146Nd_CD43,Sm149Di: 149Sm_CD19,Nd150Di: 150Nd_IgD,Eu151Di: 151Eu_IgM,Eu153Di: 153Eu_NKp46,Sm154Di: 154Sm_CD11b,Gd158Di: 158Gd_CD93,Tb159Di: 159Tb_CXCR4,Gd160Di: 160Gd_B220,Dy162Di: 162Dy_Ly-6C,Dy164Di: 164Dy_CX3CR1,Ho165Di: 165Ho_CD3e,Er168Di: 168Er_CD21,Tm169Di: 169Tm_Sca-1,Er170Di: 170Er_NK1.1,Yb172Di: 172Yb_CD4,Yb173Di: 173Yb_CD117,Yb174Di: 174Yb_MHC_II,Lu175Di: 175Lu_CD127,Ir191Di: 191Ir_DNA1,Ir193Di: 193Ir_DNA2,Pt195Di: 195Pt_Viability
12.5667534,222.227554,0,2.5466466,0,0,67.9694748,14.826251,9.32507801,6.1298728,18.8344402,5.39863825,1.05350292,6.42476797,0,1.42213643,14.5321455,5.27092123,0,0,0,0,0,0,30.8235607,0,408.690125,783.919922,4.31692886
5.93445015,0,0,0,0,0,15.9666672,15.1896496,6.14707661,0.763651729,11.2008152,0,4.38802195,0,0,0,9.41722012,4.80502319,0,0.120362327,0.022883402,0,0,2.55874157,46.2047882,0,454.371765,743.513916,8.71177101
38.539444,2.63256788,0,0,0,0,90.0151443,37.3971939,12.599967,0,4.73536062,0,0,19.3527012,4.21884775,0.509705901,0,0.916878819,0,0,0,0,3.05098248,1.69343472,90.7977295,5.37876368,401.913239,741.446533,2.90458369
12.4348192,3.63556385,0.717730224,0,0,0,26.4776077,2.67188907,4.75528574,1.03965712,25.7954807,0,0,0,0.106791839,0.156877562,18.5056381,4.38585567,0.068648167,0,0,0,0,1.01283026,21.3711834,0,455.641083,849.909729,0.503663301
8.34433556,26.281992,0,2.70860147,1.11649442,0.914356709,49.6745949,11.9445915,6.61408234,3.9422276,7.68606472,0,0.480460912,18.8809299,3.22018957,3.05098248,0,0.58007586,0,0,0,0,0,0,96.1146164,4.37765741,476.443634,934.454407,8.14684582
64.2244263,6.54745722,2.31448817,0,0,2.87236977,126.315109,33.0354767,16.0443592,0.12204022,64.0062714,3.29436564,0.558902264,35.7860489,3.40893507,16.7455215,6.19006252,0,0,0.307119161,0,0,0,0,84.8624268,0,378.020599,676.384277,0
22.5158424,38.0137749,0,0,0,5.29016924,101.601311,6.42476797,6.19369888,0.274624318,149.570526,2.50458574,4.0488143,5.15007019,0.64292258,1.57545781,0,5.54585886,0,0,0,0,2.42313194,0,20.6912899,0,390.869507,691.606934,14.1773214
5.97933626,5.17282248,0,0.482256681,0,0,16.6225948,99.8369522,12.6666718,0,1.67176604,0,0,26.1236572,0.976550996,0,1.79622352,4.33413649,1.37195039,0,0,0,0.966565967,3.90960431,0,3.35453415,453.105988,817.380249,2.45695329
11.4304781,0,0,0.839696407,0,0,21.6174316,35.3263741,5.88992691,0,1.61448491,0,0,3.20060349,3.61313391,6.6308527,9.46377087,0,0,0,0,0,1.89883721,0,8.05935574,0.406513542,362.557495,762.384583,9.25296783
4.67392826,0,11.602766,0.419993013,5.58287859,0,49.0529594,49.6082535,22.1532574,0.198325157,1.35593843,0,1.30865371,24.3420029,0,0,2.60757184,0,0,0.059138618,0.565561295,1.6023221,0.528890729,2.10255647,7.22520828,11.8094559,336.315887,620.52771,8.9444418
0,14.3079033,9.56862545,0,0,0,0,0,5.81652069,0.94755584,2.13269997,0,4.95059633,0,0,0,0,0,0,0,3.90012002,0,0,0,0,0,522.423157,1086.51343,0
2.87444663,3.67087889,0.94755584,0,0.045763921,0.21388939,17.4692669,7.64965582,9.39793873,1.02429926,0,0,3.65588975,1.49264538,0,0.385309428,14.3847389,5.38033056,0,0,0,0,0,0,7.4169364,0,463.33252,842.830872,34.3126373
2.16822028,8.83159351,4.50710297,0,0,0,18.1858253,26.8615646,9.57031155,1.34754252,0,0,0,4.21884775,0,2.87444663,11.2604847,2.6798892,0,0,0,0,0,0,9.69252777,2.32526469,444.344635,797.134888,5.58287859
37.1879005,325.380829,2.25137019,0,2.3302865,0,19.6157856,11.6078138,6.16257524,0,10.2107468,0,2.14922571,0.137312159,0.374171168,0.049593315,0,0,0,0.645280361,0,0,0,0,0,0,444.344635,745.587158,3.92536473
0.271579683,2.96486092,0,0,0,0,21.0605431,5.63279486,6.85307217,6.53877068,0.960921824,1.67262542,4.58966303,6.45582533,0,0,23.1631737,0,0,0,0,0,0,0.191631004,3.2300024,0,475.115875,852.282654,0.94755584
18.1964626,6.33586645,1.17802536,0,2.29869747,0.363918841,30.1592693,4.87083054,4.44965267,0.030509213,0,0,0,17.1563187,0,0.082066402,0,0,0,0,0,0,0,0,14.4372673,0,345.803467,620.52771,2.75992656
81.0935822,13.6405535,0,0,0,5.08124208,184.070892,33.5496941,24.6226902,5.32553339,159.764908,8.66570854,0,11.0160217,0,2.41740537,1.08784008,0,0.05339222,0,1.16866493,0.934637845,0,0.583024919,286.252014,0.558902264,398.567444,680.157898,5.43531561
11.8901663,10.7055759,0,0,0.809593737,0,41.3825798,10.2592459,7.86548471,1.98438537,15.1162109,0,0,10.7320271,0.635215402,2.91581059,20.3214645,1.19341695,0,0,0.807500601,0.44472751,0,7.39701033,41.1765137,4.00113726,426.141327,876.382629,14.1773214
0,0.929372966,0,0.293261558,0,0,18.6650829,8.53046417,5.94937181,0,0.137312159,0,0,13.6260233,2.4824183,2.39463615,14.1306238,0,0.122051299,0,0,0,0,0,30.4316254,0.217720971,443.107056,777.395569,7.66823006
5.13443327,0.939918637,1.64157271,0,1.44021463,0,5.49049091,0,4.75528574,1.84380436,0,0,6.54047012,0,0,0,13.0618286,0,0,0,0,0,0,0,0,0,467.227203,842.830872,8.28031826
16.8805122,10.4840126,3.92536473,0,0,0,68.6742172,25.3434658,9.30092525,2.61602116,0,0,3.314502,6.3784256,2.59015298,1.50814152,21.6931324,0.58007586,0,0,0.663413584,0,3.5832727,0,114.389,0,434.54068,747.666199,1.59503222
16.3036346,28.3642979,0.687126637,0,0,0,34.6502266,1.92902672,7.22912025,2.56821203,0,0,6.20487547,2.89403582,0,4.70861006,0.441478014,0,0,0,0,0,0.71414274,0.450945765,48.4453011,1.04069042,426.141327,857.048584,3.85805345
